date,site,problem,rating,topics,result,time_minutes,difficulty_while_solving
2026-06-02,Codeforces,4A - Watermelon,800,"brute force, math",AC,2
2026-06-02,Codeforces,231A - Team,800,"brute force, greedy",AC,2.5,2
2026-06-02,Codeforces,282A - Bit++,800,implementation,AC,9.6,3
2026-06-02,Codeforces,158A - Next Round,800,"*special, implementation",AC,7,2
2026-06-02,Codeforces,1A - Theatre Square,1000,math,AC,5.5,4
2026-06-02,Codeforces,50A - Domino piling,800,"greedy, math",AC,6,3
2026-06-02,Codeforces,263A - Beautiful Matrix,800,implementation,AC,10,3
2026-06-02,Codeforces,236A - Boy or Girl,800,"brute force, implementation, strings",AC,2.9,2
2026-06-02,Codeforces,339A - Helpful Maths,800,"greedy, implementation, sortings, strings",AC,8,3
2026-06-02,Codeforces,281A - Word Capitalization,800,"implementation, strings",AC,8,3
2026-06-03,Codeforces,791A - Bear and Big Brother,800,implementation,AC,7,2
2026-06-03,Codeforces,617A - Elephant,800,math,AC,1.75,1
2026-06-03,Codeforces,266A - Stones on the Table,800,implementation,AC,18,5
2026-06-03,Codeforces,546A - Soldier and Bananas,800,"brute force, implementation, math",AC,5,3
2026-06-03,Codeforces,118A - String Task,1000,"implementation, strings",AC,12,3
2026-06-03,Codeforces,59A - Word,800,"implementation, strings",AC,5,3
2026-06-03,Codeforces,977A - Wrong Subtraction,800,implementation,AC,14,4
2026-06-03,Codeforces,2231A - Construct an Array,800,constructive algorithms,AC,19,6
2026-06-03,Codeforces,2227A - Koshary,800,"implementation, math",AC,2,2
